uuid,text_size_bytes,word_count,sentence_count,syllable_count,avg_word_length,gunning_fog_index,flesch_reading_ease,image_count,images_total_size_bytes,project_name,filename,file_size_mb,status,analyzed_at,marked_for_deletion
931d7874-e923-4e5d-a1a8-8c0df59cb02b,23896.0,3417.0,178.0,5309.0,4.87,13.35,54.95,11.0,122267.0,,,,,,
1cb03b9e-6ec0-4018-87da-67d1ce74b764,23875.0,3417.0,178.0,5309.0,4.87,13.35,54.95,11.0,122267.0,B,bitcoin.pdf,0.18,success,2026-06-17T14:13:21.217802+00:00,False
b11079f1-ee33-4dae-a588-d7b9c7b7f774,58183.0,7930.0,535.0,15489.0,5.87,16.33,26.26,,,document,document.pdf,0.1,success,2026-06-18T14:05:46.786432+00:00,False
d4a2c8d5-0600-49fe-b917-34474e34851d,,,,,,,,,,dsf,filecoin-jul-2014.pdf,0.24,success,2026-06-18T14:35:15.881652+00:00,False
7aefb8e4-695d-4480-abb1-6e4d134f8ccd,,,,,,,,,,dsf,bitcoin.pdf,0.18,success,2026-06-18T14:35:28.389962+00:00,False
3ca39b80-28b8-47e3-9857-366db5654e50,,,,,,,,,,18/06/2026,sui.pdf,0.6,success,2026-06-18T15:35:47.865399+00:00,False
f2edf6cf-1a25-4989-84c0-6945d841803f,,,,,,,,,,18/06/2026,SHIBPAPER-ABRIDGED-V.1.pdf,3.2,success,2026-06-18T15:39:45.174855+00:00,False
74d68e0b-211b-459c-8189-f40acc3dd2d7,,,,,,,,,,Doge,DogechainWP.pdf,0.53,success,2026-06-18T20:16:12.802241+00:00,False
c1bbfd0a-20fb-4795-a81b-de7f12541db8,,,,,,,,,,Filecoin,filecoin-jul-2014.pdf,0.24,success,2026-06-18T20:23:08.438778+00:00,False
0d9c3e7e-fb48-4225-b0e2-8680c483644b,,,,,,,,,,test 17,filecoin-jul-2014.pdf,0.24,success,2026-06-19T07:51:16.197912+00:00,False
8e313d93-a06e-409c-8668-a31b52a34b0a,,,,,,,,,,test 18,filecoin-jul-2014.pdf,0.24,success,2026-06-19T08:01:41.323198+00:00,False
13296613-8568-4e05-b529-11a055d52f7b,,,,,,,,,,Stellar,stellar-consensus-protocol.pdf,0.19,success,2026-06-19T08:33:07.541840+00:00,False
12651cb5-0324-464f-ab64-09121139e8ee,,,,,,,,,,dfsdf,white_paper_v_2_0.pdf,0.64,success,2026-06-19T08:39:27.899363+00:00,False
8f11a7f6-e107-4ade-84cb-74afb2df74bb,,,,,,,,,,sd,stellar-consensus-protocol.pdf,0.19,success,2026-06-19T08:48:44.305985+00:00,False
749feaf9-0a7c-4f46-87a3-3a6abaf68886,,,,,,,,,,bitcoin,bitcoin.pdf,0.18,success,2026-06-19T08:56:34.461732+00:00,False
dbe5c54a-581e-4092-9661-ac107719d3a4,,,,,,,,,,solana-whitepaper,solana-whitepaper.pdf,0.66,success,2026-06-19T09:13:05.337045+00:00,False
